year,quarter,name,sales
2019,4,난우길,89441616
2019,1,남구로시장,4565366
2019,2,남구로시장,4952943
2019,3,남구로시장,4585900
2019,4,남구로시장,3776523
2019,1,남대문시장,1776581645
2019,2,남대문시장,2023144583
2019,3,남대문시장,2126758121
2019,4,남대문시장,3005817484
2019,1,남부골목시장,21934382
2019,2,남부골목시장,24408211
2019,3,남부골목시장,25347524
2019,4,남부골목시장,23896040
2019,1,남부순환로112길,436565
2019,2,남부순환로112길,262904
2019,3,남부순환로112길,268531
2019,4,남부순환로112길,662888
2019,1,남부순환로11길,53187990
2019,2,남부순환로11길,59467113
2019,3,남부순환로11길,59757377
2019,4,남부순환로11길,49642926
2019,1,남부순환로142길,90959998
2019,2,남부순환로142길,45609823
2019,3,남부순환로142길,96827936
2019,4,남부순환로142길,83088694
2019,1,남부순환로151길,6396776
2019,2,남부순환로151길,7176992
2019,3,남부순환로151길,6117358
2019,4,남부순환로151길,6023666
2019,1,남부순환로161길,10634235
2019,2,남부순환로161길,14666763
2019,3,남부순환로161길,12046432
2019,4,남부순환로161길,11860860
2019,1,남부순환로234길,124810457
2019,2,남부순환로234길,132843038
2019,3,남부순환로234길,178366969
2019,4,남부순환로234길,176267225
2019,1,남부순환로248길,84959079
2019,2,남부순환로248길,92817737
2019,3,남부순환로248길,97724882
2019,4,남부순환로248길,84655225
2019,1,남부순환로317길,182533598
2019,2,남부순환로317길,212324804
2019,3,남부순환로317길,208561644
2019,4,남부순환로317길,122252003
2019,1,남부순환로325길,949810559
2019,2,남부순환로325길,761361002
2019,3,남부순환로325길,951395977
2019,4,남부순환로325길,1003033000
2019,1,남부순환로339길,160807791
2019,2,남부순환로339길,193138964
2019,3,남부순환로339길,182626184
2019,4,남부순환로339길,123730365
2019,1,남부순환로33길,7392046
2019,2,남부순환로33길,8357490
2019,3,남부순환로33길,8060720
2019,4,남부순환로33길,6923482
2019,1,남부순환로365길,181493326
2019,2,남부순환로365길,188070813
2019,3,남부순환로365길,191934253
2019,4,남부순환로365길,7889972
2019,1,남부순환로40길,15535481
2019,2,남부순환로40길,21260521
2019,3,남부순환로40길,30187787
2019,4,남부순환로40길,13535272
2019,1,남부순환로58길,32965025
2019,2,남부순환로58길,49593729
2019,3,남부순환로58길,47545799
